property_id,download_date,council_name,purchase_price,address,post_code,property_type,strata_lot_number,property_name,area,area_type,contract_date,settlement_date,zoning,nature_of_property,primary_purpose,legal_description
390070,2024-02-26,CENTRAL COAST,63333,"9 YETHONGA AVE, BLUE BAY",2261,house,,,765.1,M,2021-06-11,2024-02-14,R1,R,RESIDENCE,126/3/11935
2908133,2024-02-26,CENTRAL COAST,600000,"1 RODNEY CL, LAKE MUNMORAH",2259,house,,,333.0,M,2024-01-08,2024-02-16,R1,R,RESIDENCE,301/1040764
3504819,2024-02-26,CENTRAL COAST,2875000,"3/3 HUNTER CRES, TERRIGAL",2260,unit,3.0,,,,2023-09-15,2024-02-16,,R,RESIDENCE,3/SP83437
371075,2024-02-26,CENTRAL COAST,375000,"4/14 PACIFIC HWY, WYONG",2259,unit,5.0,,,,2024-01-11,2024-02-22,,R,RESIDENCE,5/SP99127
4234780,2024-02-26,CENTRAL COAST,1400000,"1/7 BELLBIRD AVE, TERRIGAL",2260,unit,1.0,,,,2024-01-23,2024-02-19,,R,RESIDENCE,1/SP95504
4160301,2024-02-26,CENTRAL COAST,950000,"2 SUNDOWNER AVE, KINCUMBER",2251,house,,,588.1,M,2024-01-04,2024-02-19,R2,R,RESIDENCE,2/1245175
4164658,2024-02-26,CENTRAL COAST,1475000,"401/7 CAMPBELL CRES, TERRIGAL",2260,unit,14.0,,166.0,M,2024-01-08,2024-02-19,,R,RESIDENCE,14/SP98141
30296,2024-02-26,CENTRAL COAST,1300000,"23 BARREE AVE, NARARA",2250,house,,,809.4,M,2024-01-26,2024-02-20,R2,R,RESIDENCE,26/21071
25952,2024-02-26,CENTRAL COAST,808000,"6/183 ALBANY ST, POINT FREDERICK",2250,unit,6.0,,,,2024-02-06,2024-02-16,,R,RESIDENCE,6/SP58743
35608,2024-02-26,CENTRAL COAST,870000,"262 BRISBANE WATER DR, WEST GOSFORD",2250,house,,,613.0,M,2023-12-23,2024-02-21,R2,R,RESIDENCE,2/243606
33422,2024-02-26,CENTRAL COAST,1240000,"107 BOOKER BAY RD, BOOKER BAY",2257,house,,,575.4,M,2023-12-10,2024-02-19,R1,R,RESIDENCE,81/7061
35301,2024-02-26,CENTRAL COAST,950000,"26 BRISBANE WATER DR, KOOLEWONG",2256,house,,,645.0,M,2023-12-22,2024-02-16,R2,R,RESIDENCE,13A/376072
51612,2024-02-26,CENTRAL COAST,2750000,"27 GROSVENOR RD, TERRIGAL",2260,house,,,450.0,M,2023-12-08,2024-02-16,R1,R,RESIDENCE,121/792821
51618,2024-02-26,CENTRAL COAST,3800000,"15 GROSVENOR RD, TERRIGAL",2260,house,,,516.0,M,2023-10-11,2024-02-16,R1,R,RESIDENCE,182/854016
46252,2024-02-26,CENTRAL COAST,1210000,"508 EMPIRE BAY DR, BENSVILLE",2251,house,,,1012.0,M,2024-01-22,2024-02-16,R2,R,RESIDENCE,5/A/6113
43688,2024-02-26,CENTRAL COAST,840000,"9 DENA AVE, NARARA",2250,house,,,878.9,M,2024-01-24,2024-02-16,R2,R,RESIDENCE,33/238470
43792,2024-02-26,CENTRAL COAST,4000000,"65 DIAMOND RD, PEARL BEACH",2256,house,,,531.1,M,2024-01-11,2024-02-22,R2,R,RESIDENCE,6/224575
43846,2024-02-26,CENTRAL COAST,2000000,"34 DIAMOND RD, PEARL BEACH",2256,house,,,670.2,M,2024-02-07,2024-02-21,R2,R,RESIDENCE,330/14592
44760,2024-02-26,CENTRAL COAST,2140000,"40 DOVER RD, WAMBERAL",2260,house,,,1113.0,M,2023-11-07,2024-02-16,R2,R,RESIDENCE,70/15881
50108,2024-02-26,CENTRAL COAST,435000,"9/101 GLENNIE ST, NORTH GOSFORD",2250,unit,9.0,,,,2024-01-09,2024-02-20,,R,RESIDENCE,9/SP30024
42510,2024-02-26,CENTRAL COAST,1475000,"37 DAVIS AVE, DAVISTOWN",2251,house,,,480.6,M,2024-01-29,2024-02-16,R2,R,RESIDENCE,50/7314
42831,2024-02-26,CENTRAL COAST,1650000,"14 DAY DAWN PL, ERINA",2250,house,,,915.1,M,2023-11-25,2024-02-19,R2,R,RESIDENCE,164/835391
45971,2024-02-26,CENTRAL COAST,625000,"13/15 ELM RD, NARARA",2250,unit,13.0,,,,2024-01-11,2024-02-22,,R,RESIDENCE,13/SP41500
52781,2024-02-26,CENTRAL COAST,820000,"1018 HAWKESBURY RVR, LITTLE WOBBY",2256,house,,,889.4,M,2024-01-25,2024-02-14,C2,R,RESIDENCE,57/7842 Licence 455461
55512,2024-02-26,CENTRAL COAST,1030000,"14 HORSFIELD RD, HORSFIELD BAY",2256,house,,,457.4,M,2023-12-21,2024-02-15,R2,R,RESIDENCE,19/4485 Permissive Occupancy 168923
55672,2024-02-26,CENTRAL COAST,200000,"105 HUMPHREYS RD, KINCUMBER SOUTH",2251,house,,,2.279,H,2023-10-13,2023-12-20,P,R,RESIDENCE,2/215886
58659,2024-02-26,CENTRAL COAST,970000,"48 KARINGI ST, ETTALONG BEACH",2257,house,,,518.5,M,2023-12-21,2024-02-19,R1,R,RESIDENCE,11/J/9391
59527,2024-02-26,CENTRAL COAST,1475000,"47 A KINCUMBER CRES, DAVISTOWN",2251,house,,,896.3,M,2024-01-08,2024-02-19,R2,R,RESIDENCE,62/812108
67879,2024-02-26,CENTRAL COAST,1550000,"15 MOORES RD, AVOCA BEACH",2251,house,,,770.0,M,2023-11-24,2024-02-22,R2,R,RESIDENCE,50/263303
70704,2024-02-26,CENTRAL COAST,1450000,"4 WINDEMERE DR, TERRIGAL",2260,house,,,641.4,M,2023-11-29,2024-02-20,R2,R,RESIDENCE,137/819273
63075,2024-02-26,CENTRAL COAST,2450000,"85 MACDONALDS RD, LISAROW",2250,house,,,1.932,H,2023-01-22,2024-02-20,C2,R,RESIDENCE,21/1016898
71533,2024-02-26,CENTRAL COAST,725000,"3/444 OCEAN BEACH RD, UMINA BEACH",2257,unit,3.0,,,,2023-12-23,2024-02-19,,R,RESIDENCE,3/SP22421
72477,2024-02-26,CENTRAL COAST,790000,"2/165 OCEAN VIEW RD, ETTALONG BEACH",2257,unit,2.0,,,,2024-01-17,2024-02-20,,R,RESIDENCE,2/SP17122
67621,2024-02-26,CENTRAL COAST,1480000,"20 MOBBS RD, TERRIGAL",2260,house,,,568.7,M,2024-01-09,2024-02-20,R2,R,RESIDENCE,39/808588
84189,2024-02-26,CENTRAL COAST,1220000,"53 TAPESTRY WAY, UMINA BEACH",2257,house,,,550.0,M,2024-01-11,2024-02-22,R2,R,RESIDENCE,30/786397
78786,2024-02-26,CENTRAL COAST,1275000,"137 RIVIERA AVE, TERRIGAL",2260,house,,,645.0,M,2024-01-25,2024-02-21,R2,R,RESIDENCE,104/226932
77656,2024-02-26,CENTRAL COAST,1680000,"1 RAWSON RD, WOY WOY",2256,house,,,684.1,M,2023-11-15,2024-02-15,R2,R,RESIDENCE,1/661013 Licence 467247
80518,2024-02-26,CENTRAL COAST,910000,"2/36 SCHNAPPER RD, ETTALONG BEACH",2257,unit,2.0,,,,2023-12-21,2024-02-19,,R,RESIDENCE,2/SP46225
78043,2024-02-26,CENTRAL COAST,1560000,"12 REMBRAE DR, GREEN POINT",2251,house,,,550.5,M,2024-02-07,2024-02-20,R2,R,RESIDENCE,29/831869
78395,2024-02-26,CENTRAL COAST,1250000,"14 RICKARD RD, EMPIRE BAY",2257,house,,,743.2,M,2023-12-07,2024-02-20,R2,R,RESIDENCE,2122/563844
81062,2024-02-26,CENTRAL COAST,2400000,"22 SHELLY BEACH RD, EMPIRE BAY",2257,house,,,701.9,M,2024-01-25,2024-02-22,R2,R,RESIDENCE,4/19087
92142,2024-02-26,CENTRAL COAST,651500,"3/26 WELLS ST, EAST GOSFORD",2250,unit,3.0,,,,2024-01-30,2024-02-21,,R,RESIDENCE,3/SP39465
89844,2024-02-26,CENTRAL COAST,770000,"1/46 A VIEW PDE, SARATOGA",2251,unit,1.0,,,,2024-01-27,2024-02-16,,R,RESIDENCE,1/SP35657
89923,2024-02-26,CENTRAL COAST,1100000,"23 VILLAGE RD, SARATOGA",2251,house,,,556.4,M,2024-01-17,2024-02-16,R2,R,RESIDENCE,42/203903
85328,2024-02-26,CENTRAL COAST,1410000,"10 THE CEDARS CL, BENSVILLE",2251,house,,,557.0,M,2023-11-28,2024-02-20,R2,R,RESIDENCE,5/861965
90672,2024-02-26,CENTRAL COAST,540000,"3/100 FAUNCE ST W, GOSFORD",2250,unit,3.0,,,,2024-01-10,2024-02-21,,R,RESIDENCE,3/SP62307
88097,2024-02-26,CENTRAL COAST,1190000,"140 TRAFALGAR AVE, UMINA BEACH",2257,house,,,935.8,M,2023-03-03,2024-02-20,R1,R,RESIDENCE,3/8/19850
93607,2024-02-26,CENTRAL COAST,135000,"5942 WISEMANS FERRY RD, GUNDERMAN",2775,house,,,815.7,M,2024-01-25,2024-02-22,C2,R,RESIDENCE,39/23889
93686,2024-02-26,CENTRAL COAST,330000,"4962 WISEMANS FERRY RD, SPENCER",2775,house,,,1347.0,M,2024-01-05,2024-02-16,C2,R,RESIDENCE,21/207941
86277,2024-02-26,CENTRAL COAST,922000,"7 THE GROVE, WYOMING",2250,house,,,746.1,M,2024-01-16,2024-02-20,R2,R,RESIDENCE,23/221662
3029310,2024-02-26,CENTRAL COAST,1650000,"77 POLLOCK AVE, WYONG",2259,house,,,7111.0,M,2023-12-20,2024-02-16,C3,R,RESIDENCE,3/1056384
3095600,2024-02-26,CENTRAL COAST,340000,"28/224 TERRIGAL DR, TERRIGAL",2260,unit,28.0,,,,2024-01-09,2024-02-20,,R,RESIDENCE,28/SP72829
3537610,2024-02-26,CENTRAL COAST,805000,"14 VIOLET RD, HAMLYN TERRACE",2259,house,,,450.5,M,2024-01-23,2024-02-20,R2,R,RESIDENCE,235/1152170
3539329,2024-02-26,CENTRAL COAST,1225000,"39 B RIDGE ST, ETTALONG BEACH",2257,house,2.0,,,,2024-01-22,2024-02-20,,R,RESIDENCE,2/SP84309
3550344,2024-02-26,CENTRAL COAST,730000,"1/284 THE ENTRANCE ROAD, LONG JETTY",2261,unit,1.0,,184.0,M,2023-12-04,2024-02-16,,R,RESIDENCE,1/SP84613
4089144,2024-02-26,CENTRAL COAST,730000,"1/19 DONNISON ST W, WEST GOSFORD",2250,unit,1.0,,178.0,M,2024-01-09,2024-02-20,,R,RESIDENCE,1/SP91000
4133110,2024-02-26,CENTRAL COAST,983000,"137 WARNERVALE RD, HAMLYN TERRACE",2259,house,,,533.3,M,2023-12-22,2024-02-20,R2,R,RESIDENCE,101/1242457
4525785,2024-02-26,CENTRAL COAST,450000,"15 BOOBOOK RISE, NARARA",2250,house,,,551.3,M,2022-02-11,2024-02-21,R2,V,VACANT LAND,88/270882
4506602,2024-02-26,CENTRAL COAST,959194,"2/237 OCEAN VIEW RD, ETTALONG BEACH",2257,unit,2.0,,120.0,M,2023-12-22,2024-02-16,,3,COMMERCIAL,2/SP106469
4524891,2024-02-26,CENTRAL COAST,1400000,"94 B BARRENJOEY RD, ETTALONG BEACH",2257,house,,,301.7,M,2024-01-19,2024-02-16,R1,R,RESIDENCE,4/1299522
3197777,2024-02-26,CENTRAL COAST,630000,"42 PANONIA RD, WYONG",2259,house,,,588.1,M,2024-01-19,2024-02-16,R2,R,RESIDENCE,9/20923
3205532,2024-02-26,CENTRAL COAST,637500,"3/1 LAKEVIEW ST, TOUKLEY",2263,unit,3.0,,,,2023-12-11,2024-02-22,,R,RESIDENCE,3/SP75850
3703914,2024-02-26,CENTRAL COAST,1080000,"26 QUARTERHORSE PDE, WADALBA",2259,house,,,581.7,M,2023-11-21,2024-02-16,R2,R,RESIDENCE,23/1185706
3221972,2024-02-26,CENTRAL COAST,1500000,"25/2 BRUNSWICK RD, TERRIGAL",2260,unit,25.0,,,,2023-12-01,2024-02-22,,R,RESIDENCE,25/SP77326
3318544,2024-02-26,CENTRAL COAST,605000,"1/131 WALLARAH RD, GOROKAN",2263,unit,1.0,,,,2024-01-25,2024-02-22,,R,RESIDENCE,1/SP78966
4427283,2024-02-26,CENTRAL COAST,1275000,"98 A BUFF POINT AVE, BUFF POINT",2262,house,,,522.7,M,2023-11-27,2024-02-16,R2,R,RESIDENCE,1/1272524
4488732,2024-02-26,CENTRAL COAST,517500,"14 LAPWING RD, WARNERVALE",2259,house,,,450.0,M,2024-01-22,2024-02-19,R2,R,RESIDENCE,2075/1273682
4467549,2024-02-26,CENTRAL COAST,1050000,"32 SONGLARK WAY, WARNERVALE",2259,house,,,484.9,M,2024-01-23,2024-02-20,R2,R,RESIDENCE,2131/1273022
3815565,2024-02-26,CENTRAL COAST,1450000,"2/42 THE RIDGEWAY, LISAROW",2250,unit,,,1048.0,M,2024-01-19,2024-02-22,R2,R,RESIDENCE,62/1201322
3841750,2024-02-26,CENTRAL COAST,780000,"3 CRESWELL ST, WADALBA",2259,house,,,532.5,M,2023-12-20,2024-02-16,R2,R,RESIDENCE,39/1207188
4013188,2024-02-26,CENTRAL COAST,1200000,"2/72 SWADLING ST, LONG JETTY",2261,unit,2.0,,327.0,M,2024-02-16,2024-02-16,,R,RESIDENCE,2/SP95156
4320196,2024-02-26,CENTRAL COAST,347500,"8/5 APPRENTICE DR, BERKELEY VALE",2261,unit,8.0,,148.0,M,2024-01-16,2024-02-20,,R,RESIDENCE,8/SP102173
3434434,2024-02-26,GRIFFITH,500000,"38 TURNER RD, YOOGALI",2680,house,,,33.02,H,2023-11-30,2024-02-22,RU1,3,FARM,93/751704
3527808,2024-02-26,GRIFFITH,80000,"34/115 CLIFTON BVD, GRIFFITH",2680,unit,34.0,GRIFFITH SCENIC VILLAGE,,,2024-02-05,2024-02-19,,R,RESIDENCE,34/SP84018
4533104,2024-02-26,GRIFFITH,789500," RANKINS SPRINGS RD, GRIFFITH",2680,house,,,16.42,H,2023-12-22,2024-02-07,,3,FARM,629/751743 769/821518
